author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
developer,2,10,2,59.2,Ладожская,True,274000
real_estate_agent,4,14,2,119.3,Серпуховская,True,880134
representative_developer,2,10,2,62.5,Удельная,True,315000
real_estate_agent,7,19,2,52.1,Комендантский проспект,True,274472
developer,7,12,2,62.87,Комендантский проспект,True,258390
developer,7,10,2,55.0,Комендантский проспект,True,227784
real_estate_agent,2,23,2,62.7,Терехово ,True,462520
developer,6,9,2,64.54,Площадь Александра Невского,True,460000
real_estate_agent,10,32,2,34.0,Шелепиха,True,882353
developer,2,9,2,58.78,Василеостровская,True,385257
developer,2,4,2,57.7,Звездная,True,218900
representative_developer,12,18,2,63.97,Проспект Большевиков,True,265752
real_estate_agent,22,22,2,101.2,Дубровка,True,563241
real_estate_agent,4,8,2,69.0,Смоленская,True,965254
real_estate_agent,2,6,2,140.0,Чкаловская,True,1666800
real_estate_agent,2,2,2,27.8,not available,False,100719
real_estate_agent,2,3,2,49.0,not available,False,71429
unknown,1,5,2,44.6,not available,False,90807
real_estate_agent,4,4,2,42.0,not available,False,97619
representative_developer,8,20,2,41.92,not available,False,98172
real_estate_agent,5,5,2,41.8,Буревестник,True,100000
real_estate_agent,6,9,2,47.5,not available,False,88421
real_estate_agent,6,9,2,44.9,Комсомольская,True,100000
real_estate_agent,4,5,2,47.9,not available,False,100209
representative_developer,1,9,2,48.5,not available,False,99000
real_estate_agent,7,19,2,40.5,not available,False,123432
developer,2,9,2,44.55,not available,False,112000
real_estate_agent,14,17,2,60.7,not available,False,86491
representative_developer,9,9,2,46.7,not available,False,113000
representative_developer,6,10,2,52.1,not available,False,101727
real_estate_agent,2,5,2,43.5,Бурнаковская,True,122989
real_estate_agent,1,9,2,43.6,not available,False,123853
representative_developer,9,9,2,45.46,not available,False,119000
real_estate_agent,6,16,2,56.4,not available,False,97340
real_estate_agent,3,9,2,52.4,not available,False,104771
real_estate_agent,1,5,2,56.0,not available,False,100000
real_estate_agent,3,3,2,60.0,not available,False,97500
real_estate_agent,9,16,2,75.9,not available,False,78393
real_estate_agent,17,18,2,75.5,not available,False,78146
developer,2,20,2,61.2,Алабинская,True,97000
real_estate_agent,4,5,2,45.2,not available,False,134956
real_estate_agent,15,17,2,48.9,not available,False,126789
real_estate_agent,1,9,2,47.0,not available,False,131915
developer,2,16,2,39.5,Девяткино,True,157100
real_estate_agent,3,9,2,44.3,Улица Дыбенко,True,143341
developer,2,3,2,57.2,not available,False,112028
real_estate_agent,9,9,2,48.9,not available,False,132924
real_estate_agent,12,23,2,63.5,not available,False,102362
real_estate_agent,5,9,2,44.0,Улица Дыбенко,True,150000
developer,1,8,2,57.79,not available,False,115000
real_estate_agent,9,9,2,67.4,not available,False,99407
real_estate_agent,5,5,2,70.0,not available,False,99286
developer,1,8,2,46.4,Парнас,True,156000
real_estate_agent,2,12,2,50.5,not available,False,144554
developer,3,4,2,55.6,not available,False,132400
real_estate_agent,8,24,2,53.5,not available,False,139252
real_estate_agent,3,3,2,60.0,not available,False,126500
unknown,1,9,2,52.0,not available,False,146154
developer,8,8,2,49.0,not available,False,160288
real_estate_agent,12,25,2,52.2,Девяткино,True,151341
real_estate_agent,5,23,2,55.5,not available,False,142342
developer,4,9,2,68.4,not available,False,116000
developer,3,4,2,60.3,not available,False,132400
real_estate_agent,2,3,2,54.6,Ладожская,True,146520
real_estate_agent,9,12,2,50.6,not available,False,158103
representative_developer,2,18,2,48.65,not available,False,167090
realtor,3,6,2,48.1,not available,False,170478
real_estate_agent,11,17,2,64.2,not available,False,128505
real_estate_agent,7,14,2,50.0,not available,False,166000
real_estate_agent,14,14,2,55.2,Аметьево,True,150362
real_estate_agent,12,16,2,68.0,not available,False,123529
developer,2,4,2,56.39,not available,False,149000
real_estate_agent,4,12,2,71.0,not available,False,122521
developer,2,15,2,48.2,Северный Вокзал,True,181535
real_estate_agent,1,19,2,48.59,Дубравная,True,183783
real_estate_agent,12,25,2,57.6,Девяткино,True,156250
developer,4,29,2,61.06,not available,False,150000
real_estate_agent,16,16,2,60.0,not available,False,157483
real_estate_agent,19,24,2,59.0,not available,False,161017
developer,2,23,2,69.5,not available,False,136578
developer,2,16,2,61.56,Спортивная,True,154000
real_estate_agent,6,16,2,64.0,not available,False,151562
real_estate_agent,9,24,2,57.3,not available,False,171030
developer,2,16,2,66.0,Девяткино,True,148900
developer,2,22,2,73.19,Советская,True,134000
real_estate_agent,4,4,2,40.0,Чкаловская,True,247500
homeowner,4,8,2,59.0,not available,False,167797
developer,1,17,2,58.15,Буревестник,True,172657
developer,2,19,2,53.17,Аметьево,True,189957
representative_developer,4,5,2,40.7,not available,False,250000
real_estate_agent,1,25,2,58.6,not available,False,179181
real_estate_agent,5,5,2,90.1,not available,False,116537
real_estate_agent,8,16,2,73.0,not available,False,143836
developer,2,24,2,63.0,Горьковская,True,166833
real_estate_agent,5,5,2,55.0,Электросила,True,194545
real_estate_agent,16,24,2,63.0,not available,False,171429
real_estate_agent,10,16,2,56.5,not available,False,194690
representative_developer,14,16,2,55.4,not available,False,209000
developer,1,19,2,68.2,Горьковская,True,175806
real_estate_agent,6,16,2,80.0,not available,False,153750
developer,1,15,2,60.85,not available,False,206970
real_estate_agent,3,4,2,48.7,Чернышевская,True,260780
real_estate_agent,9,12,2,58.86,Ленинский проспект,True,216108
real_estate_agent,14,27,2,70.2,Проспект Просвещения,True,182336
developer,2,4,2,72.7,not available,False,272120
developer,2,13,2,49.15,Геологическая,True,153327
representative_developer,15,24,2,54.68,not available,False,208074
developer,3,18,2,56.2,not available,False,114000
developer,8,11,2,65.3,Фрунзенская,True,344800
realtor,4,28,2,60.0,Павелецкая,True,665000
representative_developer,3,4,2,52.71,Автово,True,263712
developer,3,10,2,74.2,Площадь Ленина,True,316307
official_representative,19,23,2,71.7,Бауманская,True,432218
representative_developer,18,23,2,38.6,not available,False,215300
representative_developer,9,12,2,52.43,Ленинский проспект,True,304223
homeowner,2,17,2,63.0,Рассказовка,True,304762
representative_developer,2,10,2,58.53,Ленинский проспект,True,288745
realtor,5,8,2,56.8,Черная речка,True,176056
developer,2,5,2,76.0,Проспект Просвещения,True,240000
developer,6,18,2,44.84,Елизаровская,True,268000
representative_developer,2,7,2,47.58,Горный институт,True,477000
real_estate_agent,2,9,2,64.0,Авиамоторная,True,425000
developer,3,10,2,53.98,Пионерская,True,376900
representative_developer,1,5,2,52.5,Звездная,True,206671
developer,4,16,2,49.7,not available,False,134100
developer,2,15,2,58.65,not available,False,217270
real_estate_agent,6,9,2,60.0,Ольховая,True,308333
real_estate_agent,3,17,2,56.8,Южная,True,364278
real_estate_agent,3,6,2,236.0,not available,False,550847
realtor,6,17,2,54.0,Крылатское,True,444444
real_estate_agent,3,26,2,60.1,Площадь Мужества,True,272879
realtor,2,13,2,63.1,Медведково,True,150555
real_estate_agent,6,13,2,120.2,Смоленская,True,690000
developer,3,17,3,80.82,not available,False,103316
developer,2,22,3,70.0,not available,False,128034
real_estate_agent,5,13,3,119.7,Чкаловская,True,385000
developer,6,16,3,113.4,Динамо,True,400564
representative_developer,3,12,3,90.25,Проспект Просвещения,True,214965
developer,12,13,3,73.99,Горный институт,True,250326
official_representative,1,5,3,89.2,not available,False,145179
representative_developer,8,12,3,83.5,Озерки,True,244910
real_estate_agent,10,10,3,74.6,Алексеевская,True,643432
developer,20,31,3,72.8,Площадь 1905 года,True,120214
developer,2,12,3,84.1,not available,False,138100
real_estate_agent,5,12,3,136.9,Спортивная,True,2045289
developer,13,15,3,69.1,Площадь 1905 года,True,167569
real_estate_agent,3,3,3,75.0,Чкаловская,True,365333
developer,3,18,3,67.0,Аметьево,True,160415
developer,2,11,3,80.78,not available,False,126200
representative_developer,4,19,3,74.7,not available,False,150996
developer,2,9,3,67.5,not available,False,119688
developer,6,20,3,78.1,Аметьево,True,244148
developer,2,25,3,85.4,not available,False,101280
real_estate_agent,2,16,3,74.0,Домодедовская,True,240541
developer,3,24,3,88.0,not available,False,165400
developer,3,4,3,79.95,not available,False,130000
real_estate_agent,3,12,3,68.7,Пионерская,True,171761
developer,3,21,3,74.63,not available,False,110545
representative_developer,6,7,3,104.5,not available,False,358528
developer,2,27,3,74.01,Геологическая,True,173368
real_estate_agent,20,22,3,86.0,Жулебино,True,206977
developer,18,19,3,70.21,Девяткино,True,183382
developer,2,7,3,106.1,not available,False,350000
official_representative,11,19,3,139.5,Шелепиха,True,645161
developer,3,22,3,127.2,not available,False,214500
developer,5,22,3,89.5,not available,False,216352
developer,2,3,3,52.1,not available,False,201000
developer,5,5,3,79.4,Купчино,True,240000
real_estate_agent,3,6,3,130.6,Боровицкая,True,1950000
developer,6,16,3,77.39,not available,False,186800
real_estate_agent,5,5,3,152.0,Сухаревская,True,819079
real_estate_agent,13,57,3,130.0,Аэропорт,True,1054375
developer,3,9,3,125.3,Динамо,True,356975
developer,2,17,3,73.1,not available,False,344300
representative_developer,2,9,3,144.2,not available,False,1050000
real_estate_agent,10,28,3,97.4,Раменки,True,464322
developer,8,17,3,109.59,not available,False,278528
developer,3,23,3,83.3,not available,False,131000
real_estate_agent,3,5,3,82.9,Достоевская,True,517491
representative_developer,21,23,3,76.2,not available,False,135092
developer,2,24,3,80.9,not available,False,142274
developer,3,12,3,71.2,not available,False,382112
representative_developer,3,22,3,66.7,not available,False,130700
representative_developer,2,7,3,73.49,not available,False,130000
representative_developer,6,9,3,51.0,not available,False,173000
representative_developer,4,8,3,74.96,not available,False,490000
representative_developer,3,8,3,57.25,not available,False,104200
developer,2,13,3,75.72,Купчино,True,181072
developer,2,12,3,59.7,not available,False,221000
realtor,18,36,3,84.0,Аминьевская,True,544048
